package_name,version,true_label,predicted_label,malicious_probability,benign_probability,correctly_classified,risk_level
xcryptography,36.0.0,1,1,1.0,1.4564547e-11,True,High
capmonster,1,1,1,1.0,9.283531e-28,True,High
xcryptography,1.5.2,1,1,1.0,1.4564547e-11,True,High
requesys,0.9.3,1,1,1.0,4.350164e-10,True,High
Sagepay,1.1,1,1,1.0,5.2145692e-12,True,High
matplotlig,1.0.0,1,1,1.0,2.8840024e-08,True,High
much,needed,1,1,1.0,3.0916325e-17,True,High
roblox_mod,0.0.1,1,1,1.0,5.215442e-13,True,High
PyGamse,1.0.0,1,1,1.0,2.8840024e-08,True,High
bloxflipscraper,0.0.0,1,1,1.0,1.343825e-09,True,High
schubismomv3,1.10.0,1,1,1.0,2.4318469e-11,True,High
builderknower2,0.1.19,1,1,1.0,8.8521746e-13,True,High
etuptools,4.4.7,1,1,1.0,3.051232e-11,True,High
python-mongo,0.2.0,1,1,1.0,1.0502048e-10,True,High
requiremntstxt,1.0.0,1,1,1.0,2.8840024e-08,True,High
discolorpy,0.0.1,1,1,1.0,2.485394e-37,True,High
multiconnects,2.34.7,1,1,1.0,1.6118423e-17,True,High
BeautifulSoupo,1.0.0,1,1,1.0,2.8840024e-08,True,High
pylint-sys,8.15.6,1,1,1.0,5.9067367e-13,True,High
aiohttp_proxies_connector,0.2.13,1,1,1.0,5.5366715e-11,True,High
pydefender,1.0.2,1,1,1.0,2.4748519e-09,True,High
os-numpy,3.19.4,1,1,1.0,6.833376e-13,True,High
cypress,1.0.4,1,1,1.0,1.512716e-14,True,High
statsmodel,4.5.2,1,1,1.0,3.051232e-11,True,High
os-numpy,3.19.4,1,1,1.0,1.9240574e-11,True,High
pycrypte,0.0.0,1,1,1.0,6.3854273e-09,True,High
pypackscate,1.2.0,1,1,1.0,4.5671773e-09,True,High
pyprotectfile,1.0.2,1,1,1.0,2.1995328e-10,True,High
pilkow,1.0.0,1,1,1.0,2.8840024e-08,True,High
piolow,1.0.0,1,1,1.0,2.8840024e-08,True,High
ml_linear_regression_lib,1.1.3,1,1,1.0,1.3097908e-14,True,High
ploghandle,0.0.2,1,1,1.0,3.88398e-09,True,High
xcryptography,3.3,1,1,1.0,1.4564547e-11,True,High
colors5,0.1.0,1,1,1.0,4.294334e-11,True,High
ipaddres,1,1,1,1.0,1.2162518e-08,True,High
matplotpib,1.0.0,1,1,1.0,2.8840024e-08,True,High
PyGamw,1.0.0,1,1,1.0,2.8840024e-08,True,High
dbcounter,1.0.4,1,1,1.0,9.457267e-09,True,High
boogishell2,0.1.0,1,1,1.0,3.5666565e-09,True,High
piplow,1.0.0,1,1,1.0,2.8840024e-08,True,High
python-mongo,0.2.0,1,1,1.0,5.6297767e-14,True,High
customtkznter,1.0.0,1,1,1.0,2.8840024e-08,True,High
felpesviadinho,0.4.5,1,1,1.0,2.842603e-14,True,High
s3transferr,0.5.2,1,1,1.0,0.0,True,High
predpatt,1,1,1,1.0,3.0110677e-08,True,High
trustypip,0.0.3,1,1,1.0,3.4459808e-09,True,High
api-hypixel,1.0.2,1,1,1.0,1.195893e-09,True,High
aiohttp_proxy5,0.1.10,1,1,1.0,1.2691176e-10,True,High
dependencyrrr,1.0.0,1,1,1.0,7.603303e-09,True,High
w3bt00n,1,1,1,1.0,9.283531e-28,True,High
fuzzzywuzzy,4.5.2,1,1,1.0,3.051232e-11,True,High
dasdsajdjsadsad,2.0.0,1,1,1.0,7.294198e-12,True,High
modelize,1,1,1,1.0,5.3109534e-11,True,High
manda-tu-cv-a-secureit,88.88.88,1,1,1.0,1.7246063e-10,True,High
EZBEAMER,0.0.0,1,1,1.0,1.3439095e-09,True,High
djanga,0.3,1,1,1.0,1.3227796e-08,True,High
kfactionlogger,0.0.1,1,1,1.0,0.0,True,High
admcheck2,1.7.0,1,1,1.0,7.183466e-09,True,High
fedlearnerr,912.6,1,1,1.0,1.457012e-09,True,High
xolojgmnizxche,0.0.0,1,1,1.0,2.1660536e-12,True,High
pi-cord,1.0.0,1,1,1.0,2.8840024e-08,True,High
aiohttp_proxies,0.8.42,1,1,1.0,1.2993309e-13,True,High
werb3,1.0.0,1,1,1.0,2.8840024e-08,True,High
openresa,1.0.0,1,1,1.0,2.8840024e-08,True,High
16cent,999.0.1,1,1,1.0,5.8627665e-11,True,High
discordcmd,0.0.1,1,1,1.0,1.3236371e-09,True,High
devicespoof,2,1,1,1.0,7.1220484e-16,True,High
bytedtrace,0.1.5,1,1,1.0,5.4880607e-09,True,High
atio_obfuscator,0.1.4,1,1,1.0,2.3251182e-34,True,High
xcryptography,3.4.7,1,1,1.0,1.4564547e-11,True,High
packagename69,1,1,1,1.0,7.968082e-29,True,High
pepequests,0.0.2,1,1,1.0,2.7934698e-19,True,High
twyne,0.0.1,1,1,1.0,5.6719325e-17,True,High
xcryptography,3.1.1,1,1,1.0,1.4564547e-11,True,High
tensoflolw,1.0.0,1,1,1.0,2.8840024e-08,True,High
custogtkinter,1.0.0,1,1,1.0,2.8840024e-08,True,High
apple-py-music,1,1,1,1.0,1.5247744e-11,True,High
quistik,0.0.0,1,1,1.0,1.3332936e-09,True,High
api-hypixel,1.0.3,1,1,1.0,1.195893e-09,True,High
cis-publishers,1.2.3,1,1,1.0,3.011079e-08,True,High
etheriem,1.0.0,1,1,1.0,2.8840024e-08,True,High
pynoisetn,0.5.0,1,1,1.0,1.0747571e-36,True,High
requesrts,1.0.0,1,1,1.0,2.8840024e-08,True,High
dfdfdfdfhhh,1.0.3,1,1,1.0,3.4460902e-14,True,High
requesys,0.9.7,1,1,1.0,4.35028e-10,True,High
pptest,999.0.7,1,1,1.0,1.16706445e-11,True,High
urlib3,1.21.1,1,1,1.0,0.0,True,High
PakePip,0.1.2,1,1,1.0,1.5913157e-08,True,High
python-dateutils,3.0.1,1,1,1.0,1.8411978e-15,True,High
fedlearnre,912.6,1,1,1.0,1.457012e-09,True,High
antchain_sdk_baas_midway,2.0.0,1,1,1.0,5.663534e-09,True,High
new-reque-20222,2.28.1,1,1,1.0,0.0,True,High
etheereium,1.0.0,1,1,1.0,2.8840024e-08,True,High
cuatomtkinter,1.0.0,1,1,1.0,2.8840024e-08,True,High
pycrypterexe,1.0.6,1,1,1.0,4.879432e-09,True,High
dasdsajdjsaasddsad,4.0.0,1,1,1.0,7.294198e-12,True,High
customtkinger,1.0.0,1,1,1.0,2.8840024e-08,True,High
loggerbyxolo,0.0.0,1,1,1.0,1.3439019e-09,True,High
etherreumm,1.0.0,1,1,1.0,2.8840024e-08,True,High
xcryptography,1.8.1,1,1,1.0,1.4564547e-11,True,High
requiremmentstxt,1.0.0,1,1,1.0,2.8840024e-08,True,High
etherreeum,1.0.0,1,1,1.0,2.8840024e-08,True,High
py-c9rd,1.0.0,1,1,1.0,3.2181596e-08,True,High
mumuziyyds,1.1,1,1,1.0,3.208586e-08,True,High
Print-pip,13.9.3,1,1,1.0,1.6210101e-11,True,High
custotinter,1.0.0,1,1,1.0,2.8840024e-08,True,High
tomproxies,1,1,1,1.0,0.0,True,High
Oksana,999.0.5,1,1,1.0,5.651233e-09,True,High
stripe.client,any,1,1,1.0,2.2329232e-09,True,High
mayalbl,4,1,1,1.0,1.8770283e-12,True,High
bytedtrace,0.1.17,1,1,1.0,5.268302e-09,True,High
capmonsterclouclient,1.0.0,1,1,1.0,2.8840024e-08,True,High
schubismomv3,1.5.0,1,1,1.0,1.9490997e-12,True,High
PaypalOtpBypass,0.0.0,1,1,1.0,1.3439814e-09,True,High
cypress,1.0.2,1,1,1.0,8.932817e-11,True,High
opensae,1.0.0,1,1,1.0,2.8840024e-08,True,High
myweb3toolz,1,1,1,1.0,3.086412e-17,True,High
ld-impl-linux-64,2.35.1,1,1,1.0,3.011062e-08,True,High
dmnstnd_http3_client,1.0.29,1,1,1.0,5.626401e-16,True,High
spacestudio-orbit-propagation,1.1.5,1,1,1.0,3.503159e-09,True,High
Sagepay,1.1,1,1,1.0,1.4564436e-11,True,High
xcryptography,3.3.1,1,1,1.0,1.4564547e-11,True,High
aiohttp_socks_connector,0.1.28,1,1,1.0,8.056455e-11,True,High
spamysynonym,3.0.1,1,1,1.0,3.051232e-11,True,High
glovo-data-platform-declarative-airflow,999.9.18,1,1,1.0,6.778505e-09,True,High
xsetuptools,57.4.0,1,1,1.0,1.4564547e-11,True,High
xcryptography,2.1.4,1,1,1.0,1.4564547e-11,True,High
pycordde,1.0.0,1,1,1.0,2.8840024e-08,True,High
aiohttp_socks5_connector,0.2.44,1,1,1.0,5.5520262e-11,True,High
aiohttp_sock,0.1.61,1,1,1.0,1.1977574e-10,True,High
oopenwea,1.0.0,1,1,1.0,2.8840024e-08,True,High
aiohttp_sock,0.1.20,1,1,1.0,2.5732922e-16,True,High
bytedtrace,0.1.2,1,1,1.0,5.2686233e-09,True,High
confluent_docker_utils,0.0.89,1,1,1.0,4.424294e-14,True,High
attr_property,0.2.101,1,1,1.0,3.4978045e-09,True,High
requesys,0.2,1,1,1.0,4.3499648e-10,True,High
xcryptography,2.9.2,1,1,1.0,1.4564547e-11,True,High
11cent,999.0.1,1,1,1.0,1.7364195e-10,True,High
reqargs,1.2,1,1,1.0,8.5199536e-10,True,High
testdufou,1,1,1,1.0,6.685383e-11,True,High
django-metamaks-auth,4.5.2,1,1,1.0,3.9951473e-11,True,High
Siplejason,1.0.0,1,1,1.0,2.8840024e-08,True,High
insanepackageongong11192,1.0.0,1,1,1.0,2.8840024e-08,True,High
systemconfig,0.1,1,1,1.0,2.3251182e-34,True,High
threadin,4.5.2,1,1,1.0,3.051232e-11,True,High
httprequesthub,2.31.0,1,1,1.0,0.0,True,High
codeui,0.0.1,1,1,1.0,4.353382e-19,True,High
beautifulsoup-numpy,10.13.10,1,1,1.0,6.6432764e-13,True,High
secbg,0.0.7,1,1,1.0,2.907097e-13,True,High
Acqusition,4.4.2,1,1,1.0,1.6596513e-14,True,High
11cent,999.0.3,1,1,1.0,1.7364327e-10,True,High
synapse_x,0.1.3,1,1,1.0,2.3251182e-34,True,High
pygame-pytorch,3.4.19,1,1,1.0,6.3585546e-13,True,High
srv-configs,1.1.0,1,1,1.0,7.603361e-09,True,High
bobotosoji,1.0.0,1,1,1.0,2.5321982e-09,True,High
libpeshka,0.2,1,1,1.0,6.0750245e-11,True,High
hellomynameisahjahs,0.0.0,1,1,1.0,1.3632517e-09,True,High
tensoflouw,1.0.0,1,1,1.0,2.8840024e-08,True,High
peloton-client123,0.8.10,1,1,1.0,9.457267e-09,True,High
bip-uitls,1.0.0,1,1,1.0,2.8839418e-08,True,High
aiohttp_socks_connector,0.1.9,1,1,1.0,8.0564395e-11,True,High
iiris-new,2.0.16,1,1,1.0,2.026407e-08,True,High
synthetictest,0.0.1,1,1,1.0,2.1573157e-13,True,High
aiohttp_sock,0.1.75,1,1,1.0,1.261968e-10,True,High
minis-sdk,99,1,1,1.0,2.4351908e-17,True,High
colorsapi,6.6.7,1,1,1.0,2.0316516e-11,True,High
asynciio,1.0.0,1,1,1.0,2.8840024e-08,True,High
PyTorchc,1.0.0,1,1,1.0,2.8840024e-08,True,High
requiremeents,1.0.0,1,1,1.0,2.8840024e-08,True,High
aio3,0.2.8,1,1,1.0,7.320867e-18,True,High
antchain_sdk_billing,1.0.0,1,1,1.0,5.663534e-09,True,High
secbg,0.0.3,1,1,1.0,1.6423353e-10,True,High
bip-utisl,1.0.0,1,1,1.0,2.8839418e-08,True,High
pendirequests,0.1.0,1,1,1.0,7.294198e-12,True,High
xcryptography,3.1,1,1,1.0,1.4564547e-11,True,High
playwrightt,1.0.0,1,1,1.0,2.8840024e-08,True,High
mordving,1.0.0,1,1,1.0,2.5321982e-09,True,High
xcryptography,3.2.1,1,1,1.0,5.214589e-12,True,High
frekpy,4,1,1,1.0,4.2177577e-09,True,High
apicolors_advanced,0.1.0,1,1,1.0,9.4431116e-14,True,High
pypiele,1.0.1,1,1,1.0,4.4978595e-14,True,High
apch,0.0.6,1,1,1.0,6.9253425e-09,True,High
seleinium,1.0.0,1,1,1.0,2.8840024e-08,True,High
py32obf,0.1.6,1,1,1.0,6.4771876e-37,True,High
estimating,0.0.1,1,1,1.0,1.9343653e-10,True,High
BeautifullSoop,1.0.0,1,1,1.0,2.8840024e-08,True,High
sutiltype,0.0.1,1,1,1.0,1.4666613e-14,True,High
Gunbase,0.0.0,1,1,1.0,1.3439352e-09,True,High
aiohttp-socks5,0.8.2,1,1,1.0,1.8349701e-09,True,High
habibisus,0.0.0,1,1,1.0,1.3438455e-09,True,High
synthetictest1,0.0.1,1,1,1.0,5.215442e-13,True,High
boostbot-api,1,1,1,1.0,1e-45,True,High
readycharz,0.2.0,1,1,1.0,7.294198e-12,True,High
robloxpython,2.0.14,1,1,1.0,7.294129e-12,True,High
aiohttp_socks5_connector,0.2.15,1,1,1.0,2.444664e-11,True,High
bytedtrace,0.1.7,1,1,1.0,5.268302e-09,True,High
ethter,1.10.1b1,1,1,1.0,1.6325946e-13,True,High
theerum,1.0.0,1,1,1.0,2.8840024e-08,True,High
clolorama,1.0.0,1,1,1.0,2.8840024e-08,True,High
xcryptography,3.4.8,1,1,1.0,1.4564547e-11,True,High
airnitro,1,1,1,1.0,9.283531e-28,True,High
web3.py9,1.0.0,1,1,1.0,2.9600628e-08,True,High
PyGzme,1.0.0,1,1,1.0,2.8840024e-08,True,High
aiohttp_sock,0.1.53,1,1,1.0,1.1977574e-10,True,High
aptx,0.2,1,1,1.0,7.006946e-10,True,High
Seabron,1,1,1,1.0,1.2162518e-08,True,High
tlsshield,1,1,1,1.0,1.2691176e-10,True,High
azure-cli-ml-preview,97.10.0,1,1,1.0,3.4964535e-11,True,High
fabrice,1.1.2,1,1,1.0,7.678e-42,True,High
pyheul,1.0.2,1,1,1.0,1.3242274e-10,True,High
xcryptography,2.6.1,1,1,1.0,1.4564547e-11,True,High
Deeprce,0.0.1,1,1,1.0,5.388537e-09,True,High
SimpleCalc-2022,4.2.21,1,1,1.0,0.0,True,High
genesisbot,0.0.2,1,1,1.0,3.9012244e-14,True,High
hellowhatisao,0.0.0,1,1,1.0,1.343602e-09,True,High
qrcoding,1.0.1,1,1,1.0,3.051232e-11,True,High
ctx,0.2.6,1,1,1.0,1.1636764e-08,True,High
RobloxAPIACCESS,0.0.1,1,1,1.0,2.0232975e-12,True,High
tensofl9w,1.0.0,1,1,1.0,2.8840024e-08,True,High
urllib3loader,0.0.0,1,1,1.0,1.3440634e-09,True,High
requirementxtt,1.0.0,1,1,1.0,2.8840024e-08,True,High
poiqweconnector,1.0.7,1,1,1.0,3.525265e-09,True,High
sentinelone,1.0.6,1,1,1.0,4.577621e-22,True,High
rdependency1337,1.0.0,1,1,1.0,1.5907801e-10,True,High
builderknower,0.1.8,1,1,1.0,9.443752e-12,True,High
mumuzi1,1.5,1,1,1.0,1.441271e-09,True,High
hugebbc,0.0.0,1,1,1.0,1.3438891e-09,True,High
bytedtrace,0.1.16,1,1,1.0,5.268302e-09,True,High
py-vord,1.0.0,1,1,1.0,3.2181596e-08,True,High
wweb,1.0.0,1,1,1.0,2.8840024e-08,True,High
aliababcloud_tea_openapi,0.3.7,1,1,1.0,5.3468074e-09,True,High
reqquests,2.27.1,1,1,1.0,0.0,True,High
cypress,1.0.1,1,1,1.0,8.932817e-11,True,High
pydesings,2.9,1,1,1.0,1.0832447e-13,True,High
manyhttps,2.33.13,1,1,1.0,5.948398e-17,True,High
methantiafk,0.0.2,1,1,1.0,3.9119e-41,True,High
fabrice,1.0.7,1,1,1.0,7.678e-42,True,High
ipadress,1,1,1,1.0,1.2162518e-08,True,High
py32flayer,0.1.6,1,1,1.0,6.4771876e-37,True,High
ciscosparksdk,99.24.2,1,1,1.0,7.603361e-09,True,High
pandarequests,0.1.0,1,1,1.0,7.294198e-12,True,High
Lukz,3.0.0,1,1,1.0,1.7928693e-21,True,High
arangodb-driver,1.0.0,1,1,1.0,9.4536965e-09,True,High
pylint-beautifulsoup,17.10.12,1,1,1.0,5.9125534e-13,True,High
bettercolors,0.1.0,1,1,1.0,7.0268503e-13,True,High
bytedtrace,0.10.4,1,1,1.0,5.268302e-09,True,High
oksana,999.0.4,1,1,1.0,4.512289e-09,True,High
collored,0.0.4,1,1,1.0,2.3864227e-10,True,High
httpxrequesterv2,1,1,1,1.0,3e-45,True,High
requas,1.0.0,1,1,1.0,2.8840024e-08,True,High
discord-hook,1,1,1,1.0,1.2171424e-09,True,High
htties,0.1,1,1,1.0,3.436439e-08,True,High
seleenim,1.0.0,1,1,1.0,2.8840024e-08,True,High
requesys,0.9.6,1,1,1.0,4.3502718e-10,True,High
colourfool,0.1.5,1,1,1.0,1.1615747e-11,True,High
pyproximabe,0.1,1,1,1.0,3.0110733e-08,True,High
httpscolor,1,1,1,1.0,3.436439e-08,True,High
EZBEAMSW,0.0.0,1,1,1.0,1.343925e-09,True,High
aiohttp_socks4,0.8.27,1,1,1.0,2.2590405e-10,True,High
reqeosts,1.0.0,1,1,1.0,2.8840024e-08,True,High
oenesea,1.0.0,1,1,1.0,2.8840024e-08,True,High
BeautifulSoup-new,3.0.0,1,1,1.0,0.0,True,High
ascii-chillah,99,1,1,1.0,1.234622e-17,True,High
reuests,2.27.1,1,1,1.0,0.0,True,High
activedevbadge,0.39,1,1,1.0,2.2085077e-10,True,High
testpipper,0.0.1,1,1,1.0,2.4913147e-09,True,High
django-pyyaml,20.17.15,1,1,1.0,6.4086946e-13,True,High
Print-pip,13.9.3,1,1,1.0,5.844361e-13,True,High
security-util,0.0.3,1,1,1.0,2.5381919e-11,True,High
citscapesscripts,11.0.0,1,1,1.0,7.611748e-09,True,High
xcryptography,2.4.2,1,1,1.0,1.4564547e-11,True,High
aiohttp_proxies_connector,0.2.28,1,1,1.0,5.5366715e-11,True,High
loglib-modules,1.0.8,1,1,1.0,8.691792e-17,True,High
coloramaz,1.0.0,1,1,1.0,2.8840024e-08,True,High
bop-utils,1.0.0,1,1,1.0,2.9348605e-08,True,High
p9llow,1.0.0,1,1,1.0,2.8840024e-08,True,High
paquete-malicioso,99.99.99,1,1,1.0,1.7246063e-10,True,High
importantpackage,0.1.28,1,1,1.0,1.4342515e-08,True,High
reqeustz,1.0.0,1,1,1.0,2.8840024e-08,True,High
effre4frferfrf,1,1,1,1.0,0.0,True,High
python-drgn,1.1.21,1,1,1.0,3.3142953e-17,True,High
easyrequests,1.0.0,1,1,1.0,3.0377668e-14,True,High
aiogram-types,0.1.8,1,1,1.0,1.2120016e-13,True,High
urllib3installer,0.0.0,1,1,1.0,1.3440763e-09,True,High
requierement,1.0.0,1,1,1.0,2.8840024e-08,True,High
bytedtrace,0.1.15,1,1,1.0,5.268302e-09,True,High
crypto-pygame,10.14.7,1,1,1.0,5.747566e-13,True,High
PyGxme,1.0.0,1,1,1.0,2.8840024e-08,True,High
mlp-data-product-producer,999.9.17,1,1,1.0,7.183493e-09,True,High
ssc-concurrent-log-handler,0.0.13,1,1,1.0,9.0100486e-13,True,High
coloramwa,1.0.0,1,1,1.0,2.8840024e-08,True,High
requirtements,1.0.0,1,1,1.0,2.8840024e-08,True,High
proxyscrope,4.4.7,1,1,1.0,3.051232e-11,True,High
matplatlib-plus,1.2,1,1,1.0,0.0,True,High
tequests,2.28.1,1,1,1.0,1.023818e-11,True,High
aiohttp_sock,0.1.38,1,1,1.0,2.409442e-10,True,High
pylint,any,1,1,1.0,1.6602079e-11,True,High
oauthapimojang,0.2.7,1,1,1.0,4.2125176e-08,True,High
yellorq,1,1,1,1.0,2.3251182e-34,True,High
neverbeentgg,1.0.0,1,1,1.0,7.9216874e-35,True,High
PyGazme,1.0.0,1,1,1.0,2.8840024e-08,True,High
1337test,1,1,1,1.0,6.685383e-11,True,High
synthetictest,0.0.1,1,1,1.0,5.5002406e-08,True,High
attr_property,0.2.80,1,1,1.0,0.0,True,High
pypiele,1.0.1,1,1,0.9999999,9.2466195e-08,True,High
pystallerer,1.0.0,1,1,0.9999999,9.2466195e-08,True,High
pycrypterexe,1.0.6,1,1,0.9999999,1.531081e-07,True,High
xiedemo,0.0.0,1,1,0.9999999,1.5401521e-07,True,High
pycrypterexe,1.1.3,1,1,0.9999999,1.5401874e-07,True,High
humanqueen,0.0.5,1,1,0.9999999,1.3391451e-07,True,High
pycrypterexe,1.0.0,1,1,0.9999999,1.5310752e-07,True,High
aws-login0tool,0.0.10,1,1,0.99999976,2.6827598e-07,True,High
testpipxyz3,1.0.0,1,1,0.99999976,2.0382207e-07,True,High
artifact_lab_3_package_392c6acd,0.1.6,1,1,0.99999976,2.3894273e-07,True,High
aws-login0tool,0.0.5,1,1,0.99999976,2.6827598e-07,True,High
aws-login0tool,0.0.3,1,1,0.99999976,2.6827598e-07,True,High
cloudfix,1.34,1,1,0.99999976,2.1043469e-07,True,High
beautifulsoup,3.2.2,1,1,0.99999976,2.7565423e-07,True,High
drgn-tokenization,0.0.99,1,1,0.99999976,2.5666714e-07,True,High
artifact_lab_3_package_392c6acd,0.1.10,1,1,0.99999976,2.3894273e-07,True,High
analyze-me,1.0.0,1,1,0.99999976,2.7049305e-07,True,High
testpipxyz3,1.0.0,1,1,0.99999976,1.8610014e-07,True,High
test23414234234,0.6,1,1,0.99999976,1.9003704e-07,True,High
python-drgn,1.1.95,1,1,0.99999976,2.8253882e-07,True,High
xolomdabxhhrue,0.0.0,1,1,0.99999964,3.9003666e-07,True,High
poiqweconnector,0.0.5,1,1,0.99999964,3.6529914e-07,True,High
http_xen,1.0.0,1,1,0.99999964,3.9003666e-07,True,High
xoloyfczocogra,0.0.0,1,1,0.99999964,3.9003666e-07,True,High
poiqweconnector,1.0.7,1,1,0.99999964,3.652981e-07,True,High
jas9do1,7.72,1,1,0.99999964,3.3519336e-07,True,High
infoglmi,0.0.4,1,1,0.9999995,4.320574e-07,True,High
qsteemp,0.2,1,1,0.9999995,5.10776e-07,True,High
otr-utils,4.1.9,1,1,0.9999994,6.04907e-07,True,High
easyfuncsys,0.0.4,1,1,0.9999994,5.8572084e-07,True,High
v4pe,5,1,1,0.9999994,6.2500516e-07,True,High
tkinter-message-box,0.0.1,1,1,0.9999994,6.5293295e-07,True,High
dpp_client,1.0.8,1,1,0.9999993,7.2121054e-07,True,High
artifact_lab_3_package_7e532784,0.1.6,1,1,0.9999993,7.221466e-07,True,High
ttensorflow-gpu,2.5.1,1,1,0.9999993,7.6269805e-07,True,High
pyfastdownload,1.0.0,1,1,0.99999917,8.911742e-07,True,High
equests,2.27.1,1,1,0.99999917,7.809278e-07,True,High
rrequests,2.27.1,1,1,0.99999917,7.809204e-07,True,High
ultraobfuscator,1.0.0,1,1,0.99999917,8.912855e-07,True,High
colorating,1.0.0,1,1,0.99999917,8.911665e-07,True,High
requestts,2.27.1,1,1,0.99999917,7.809204e-07,True,High
pyddosprotect,1.0.0,1,1,0.99999917,8.9117333e-07,True,High
bytedtrace,0.1.10,1,1,0.99999905,9.748434e-07,True,High
multitools,0.2,1,1,0.99999905,9.960471e-07,True,High
bytedtrace,0.1.19,1,1,0.99999905,9.748434e-07,True,High
bytedtrace,0.3.0,1,1,0.99999905,9.748434e-07,True,High
miantested,0.56,1,1,0.99999905,9.4208013e-07,True,High
infoglmi,0.0.6,1,1,0.9999989,1.0722478e-06,True,High
argspython,12.6.5,1,1,0.9999989,1.0182166e-06,True,High
infoglmi,0.0.3,1,1,0.9999989,1.0722396e-06,True,High
