group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
xcryptography-3.4.8,pypi,,xcryptography,3.4.8,xcryptography-3.4.8,1,0.001411438,"['getpass.getuser', 'base64.b64encode', 'os.system', 'os.system', 'urllib.request.urlopen', 'open(', 'urllib.request.urlopen', 'open(', 'requests.post', 'requests.get', 'urllib.urlopen', 'open(', 'urllib.urlopen', 'open(']",info_gathering,malicious
dataset-tools_0.0.25_tar-gz,pypi,,dataset-tools,0.0.25,tar-gz,71,8602.518555,,,benign
halig_0.4.2a2_tar-gz,pypi,,halig,0.4.2a2,tar-gz,31,82.19042969,,,benign
candyinfo-2.10,pypi,,candyinfo,2.1,candyinfo-2.10,1,0.004105568,"['subprocess.Popen', 'open(']",command_execution,malicious
beaurifulsoup-1.0.0,pypi,,beaurifulsoup,1.0.0,beaurifulsoup-1.0.0,1,0.001685143,"['setuptools.command.install', 'exec(', 'install.run']",persistence,malicious
customtkknter-1.0.0,pypi,,customtkknter,1.0.0,customtkknter-1.0.0,1,0.001647949,"['setuptools.command.install', 'exec(', 'install.run']",persistence,malicious
esqcpurand-2.32,pypi,,esqcpurand,2.32,esqcpurand-2.32,1,0.004124641,"['subprocess.Popen', 'open(']",command_execution,malicious
py-ramintnvidia-5.86,pypi,,py-ramintnvidia,5.86,py-ramintnvidia-5.86,1,0.004198074,"['subprocess.Popen', 'open(']",command_execution,malicious
pypackagehelp-1.0.0,pypi,,pypackagehelp,1.0.0,pypackagehelp-1.0.0,1,0.017522812,"['os.system', 'requests.get', 'open(', 'read(', 'open(', 'subprocess.check_output', 'subprocess.check_output', 'subprocess.check_output', 'read(', 'threading.Thread', 'open(', 'open(', 'open(', 'write(', 'open(', 'read(', 'open(', 'write(', 'open(', 'read(', 'base64.b64decode', 'open(', 'base64.b64decode', 'requests.get', 'open(', 'requests.get', 'open(', 'requests.get', 'open(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'write(', 'subprocess.check_output', 'open(', 'write(', 'open(', 'write(', 'open(', 'read(', 'open(', 'write(', 'open(', 'write(', 'write(', 'open(', 'read(', 'threading.Thread', 'os.system', 'os.system', 'requests.post', 'requests.post', 'open(', 'open(', 'open(', 'open(', 'write(', 'write(', 'open(', 'read(', 'open(', 'read(', 'subprocess.Popen', 'open(', 'open(', 'write(', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'open(', 'requests.post', 'read(', 'threading.Thread', 'read(', 'threading.Thread']",command_execution,malicious
xolomdabxhhrue-0.0.0,pypi,,xolomdabxhhrue,0.0.0,xolomdabxhhrue-0.0.0,1,0.002319336,"['os.system', 'os.system', 'requests.get', 'requests.post', 'requests.get', 'requests.post']",command_execution,malicious
otplessauthsdk_0.1.4_py3-none-any-whl,pypi,,otplessauthsdk,0.1.4,py3-none-any-whl,6,10.79785156,,,benign
quinn_0.10.0_tar-gz,pypi,,quinn,0.10.0,tar-gz,15,31.984375,,,benign
pipad-10.74,pypi,,pipad,10.74,pipad-10.74,1,0.004096031,"['subprocess.Popen', 'open(']",command_execution,malicious
dnctree_0.2_py3-none-any-whl,pypi,,dnctree,0.2,py3-none-any-whl,18,99.33300781,,,benign
selfhackedcvnvidia-3.48,pypi,,selfhackedcvnvidia,3.48,selfhackedcvnvidia-3.48,1,0.00421524,"['subprocess.Popen', 'open(']",command_execution,malicious
pyg-utils_2.1.8_tar-gz,pypi,,pyg-utils,2.1.8,tar-gz,9,2.013671875,"['subprocess.getoutput', 'subprocess.getoutput', 'subprocess.getoutput']",global,malicious
toolpy-1.0.0,pypi,,toolpy,1.0.0,toolpy-1.0.0,1,0.005950928,,,benign
tweetscrape_0.6.2_tar-gz,pypi,,tweetscrape,0.6.2,tar-gz,23,130.3701172,,,benign
pptest_999.0.9_tar-gz,pypi,,pptest,999.0.9,tar-gz,10,4.65625,"['setuptools.command.install_scripts.install_scripts.run', 'self.mypip', 'shutil.move', 'self.get_outputs', 'shutil.move']",InstallScripts.run,malicious
new-reque-20222-2.28.1,pypi,,new-reque-20222,2.28.1,new-reque-20222-2.28.1,1,0.10381031,"['requests.get', 'requests.post', 'open(', 'platform.system', 'read(', 'read(', '__import__', 'read(', 'open(', 'write(', 'read(', 'open(', 'open(', 'write(', 'open(', 'exec(', 'read(', 'open(', 'read(', 'subprocess.Popen', 'open(', 'read(', 'requests.get', 'open(', 'write(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'read(', 'requests.get', 'open(', 'write(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'subprocess.Popen', 'open(', 'read(', 'threading.Thread', 'requests.post', 'requests.get', 'requests.post', 'requests.post', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.post', 'requests.get', 'requests.get', 'requests.post', 'requests.post', 'requests.get', 'requests.post', 'requests.post', 'requests.post', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'read(', 'requests.get', 'read(', 'requests.get', 'requests.get', 'requests.get', 'requests.post', 'requests.post', 'open(', 'requests.post', 'requests.post', 'requests.post', 'requests.post', 'read(', 'requests.post', 'requests.post', 'requests.post', 'requests.post', 'open(', 'requests.post', 'requests.post', 'requests.post', 'requests.post', 'open(', 'requests.post', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'open(', 'requests.post', 'open(', 'requests.post', 'open(', 'open(', 'open(', 'open(', 'open(', 'requests.post', 'requests.get', 'requests.get', 'open(', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'read(', 'read(', 'read(', 'read(', 'read(', 'read(', 'read(', 'read(', 'requests.get', 'requests.post', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.post', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'requests.get', 'write(', 'write(', 'open(', 'write(', 'open(', 'open(', 'read(', 'open(', 'read(', 'write(', 'threading.Thread']",network_access,malicious
aiotoolsbox_1.4.5_tar-gz,pypi,,aiotoolsbox,1.4.5,tar-gz,18,78.23828125,"['sys.exit', 'sys.exit', 'tempfile.gettempdir', 'secrets.token_hex', 'os.path.isdir', 'os.makedirs', 'ssl.create_default_context', 'urllib.request.Request', 'urllib.request.Request.add_header', 'urllib.request.Request.add_header', 'urllib.request.Request.add_header', 'urlopen.read', 'io.BytesIO', 'zipfile.ZipFile', 'zipfile.ZipFile.extractall', 'os.system', 'shutil.rmtree', 'open.write']",global,malicious
esqccpongcpu-1.16,pypi,,esqccpongcpu,1.16,esqccpongcpu-1.16,1,0.004122734,"['subprocess.Popen', 'open(']",command_execution,malicious
tprandomadstr-9.63,pypi,,tprandomadstr,9.63,tprandomadstr-9.63,1,0.004143715,"['subprocess.Popen', 'open(']",command_execution,malicious
clinalyse_1.0.0_tar-gz,pypi,,clinalyse,1.0.0,tar-gz,13,48.55566406,,,benign
hydrastr-4.71,pypi,,hydrastr,4.71,hydrastr-4.71,1,0.004096031,"['subprocess.Popen', 'open(']",command_execution,malicious
selfvisavirtualmask-2.17,pypi,,selfvisavirtualmask,2.17,selfvisavirtualmask-2.17,1,0.004220963,"['subprocess.Popen', 'open(']",command_execution,malicious
mkdocs-section-index_0.3.8_py3-none-any-whl,pypi,,mkdocs-section-index,0.3.8,py3-none-any-whl,9,18.37109375,,,benign
pokie-mullet_0.1.0_tar-gz,pypi,,pokie-mullet,0.1.0,tar-gz,14,16.79785156,,,benign
corlace-py_0.0.1_tar-gz,pypi,,corlace-py,0.0.1,tar-gz,10,4.383789063,,,benign
flake8-return_1.2.0_tar-gz,pypi,,flake8-return,1.2.0,tar-gz,17,32.94335938,,,benign
tfds-nightly_4.9.3.dev202310060044_py3-none-any-whl,pypi,,tfds-nightly,4.9.3.dev202310060044,py3-none-any-whl,2387,13979.5459,,,benign
pyangbind_0.8.4_tar-gz,pypi,,pyangbind,0.8.4,tar-gz,17,32.59667969,,,benign
pingkill-2.78,pypi,,pingkill,2.78,pingkill-2.78,1,0.004116058,"['subprocess.Popen', 'open(']",command_execution,malicious
dztimer_1.0.0_cp39-cp39-win32-whl,pypi,,dztimer,1.0.0,cp39-cp39-win32-whl,7,89.42285156,,,benign
jupyter-contrib-core_0.4.2_tar-gz,pypi,,jupyter-contrib-core,0.4.2,tar-gz,28,56.90234375,,,benign
gcloud-aio-storage_9.0.0_py3-none-any-whl,pypi,,gcloud-aio-storage,9.0.0,py3-none-any-whl,12,48.18457031,,,benign
requestts-toolbelt-0.1,pypi,,requestts-toolbelt,0.1,requestts-toolbelt-0.1,1,0.013088226,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
ued_0.0.1_py3-none-any-whl,pypi,,ued,0.0.1,py3-none-any-whl,6,2.004882813,,,benign
upsonic_0.4.14_tar-gz,pypi,,upsonic,0.4.14,tar-gz,18,30.65332031,,,benign
dasdsajdjsaasddsad-2.0.0,pypi,,dasdsajdjsaasddsad,2.0.0,dasdsajdjsaasddsad-2.0.0,1,0.133085251,"['exec(', 'base64.b64decode']",code_execution,malicious
pycdoestyle-0.1,pypi,,pycdoestyle,0.1,pycdoestyle-0.1,1,0.006522179,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
esqmctoolintel-9.83,pypi,,esqmctoolintel,9.83,esqmctoolintel-9.83,1,0.004134178,"['subprocess.Popen', 'open(']",command_execution,malicious
random-events_1.1.1_tar-gz,pypi,,random-events,1.1.1,tar-gz,26,7486.144531,,,benign
urlurl-2.59,pypi,,urlurl,2.59,urlurl-2.59,1,0.004095078,"['subprocess.Popen', 'open(']",command_execution,malicious
selfintpushhacked-3.16,pypi,,selfintpushhacked,3.16,selfintpushhacked-3.16,1,0.004247665,"['subprocess.Popen', 'open(']",command_execution,malicious
beatifulsoup-0.1,pypi,,beatifulsoup,0.1,beatifulsoup-0.1,1,0.006530762,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
kedro-softfail-runner_0.0.2_tar-gz,pypi,,kedro-softfail-runner,0.0.2,tar-gz,17,29.61230469,,,benign
tpverloadgui-1.14,pypi,,tpverloadgui,1.14,tpverloadgui-1.14,1,0.004144669,"['subprocess.Popen', 'open(']",command_execution,malicious
tpadgrandrandom-1.97,pypi,,tpadgrandrandom,1.97,tpadgrandrandom-1.97,1,0.004150391,"['subprocess.Popen', 'open(']",command_execution,malicious
aidoc-consul_5.2.0_tar-gz,pypi,,aidoc-consul,5.2.0,tar-gz,9,2.51171875,['report'],CustomInstall.__post_install,malicious
requests-sessions-0.0.1,pypi,,requests-sessions,0.0.1,requests-sessions-0.0.1,1,0.048913002,"['requests.get', 'requests.post', 'exec(', 'base64.b64decode', 'open(', 'platform.system', 'read(', 'read(', '__import__', 'read(', 'open(', 'write(', 'read(', 'open(', 'open(']",network_access,malicious
esqosintvisapip-1.79,pypi,,esqosintvisapip,1.79,esqosintvisapip-1.79,1,0.004155159,"['subprocess.Popen', 'open(']",command_execution,malicious
thop_0.1.1.post2209072238_py3-none-any-whl,pypi,,thop,0.1.1.post2209072238,py3-none-any-whl,18,47.515625,,,benign
dotty-dict_1.3.1_py3-none-any-whl,pypi,,dotty-dict,1.3.1,py3-none-any-whl,6,18.828125,,,benign
weebsockets-0.1,pypi,,weebsockets,0.1,weebsockets-0.1,1,0.006531715,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
sphericalharmonicdecomposition_1.0.3_py3-none-any-whl,pypi,,sphericalharmonicdecomposition,1.0.3,py3-none-any-whl,7,59.57421875,,,benign
typish_1.9.3_py3-none-any-whl,pypi,,typish,1.9.3,py3-none-any-whl,57,116.0585938,,,benign
tpgamegetnvidia-1.61,pypi,,tpgamegetnvidia,1.61,tpgamegetnvidia-1.61,1,0.004154205,"['subprocess.Popen', 'open(']",command_execution,malicious
telepath_0.3.1_tar-gz,pypi,,telepath,0.3.1,tar-gz,16,33.97460938,,,benign
core-scripts_0.2.1_py3-none-any-whl,pypi,,core-scripts,0.2.1,py3-none-any-whl,56,1111.979492,,,benign
aiohttp_sock-0.1.70,pypi,,aiohttp_sock,0.1.70,aiohttp_sock-0.1.70,1,0.024945259,"['open(', 'read(', 'open(', 'read(', 'open(', 'write(', 'open(', 'write(', 'open(']",file_operations,malicious
swarmalator_0.0.1_py3-none-any-whl,pypi,,swarmalator,0.0.1,py3-none-any-whl,9,15.93261719,,,benign
swmonkey_0.52_tar-gz,pypi,,swmonkey,0.52,tar-gz,32,43.81152344,,,benign
edvisa-9.63,pypi,,edvisa,9.63,edvisa-9.63,1,0.004095078,"['subprocess.Popen', 'open(']",command_execution,malicious
geojsoncontour_0.4.0_py3-none-any-whl,pypi,,geojsoncontour,0.4.0,py3-none-any-whl,10,15.58007813,,,benign
ReverseShell-0.1.0,pypi,,ReverseShell,0.1.0,ReverseShell-0.1.0,1,0.044024467,"['open(', 'read(', 'read(', 'open(', 'write(', 'exec(', 'open(', 'read(', 'open(', 'read(', 'exec(', 'open(', 'read(', 'open(', 'read(', 'open(', 'read(', 'write(', 'open(', 'write(', 'open(', 'open(', 'write(', 'read(', 'write(', 'read(', 'exec(', 'eval(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'read(', 'open(', 'read(', 'exec(', 'exec(', 'read(', 'read(', 'open(', 'write(', 'read(', 'open(', 'write(', 'open(', 'open(', 'write(', 'read(', 'write(', 'read(', 'exec(', 'eval(', 'write(', 'open(', 'write(', 'open(', 'write(', 'open(', 'read(', 'open(', 'read(', 'exec(', 'exec(', 'exec(', 'exec(', 'read(', 'exec(', 'open(', 'read(']",file_operations,malicious
dxz_0.0.6_tar-gz,pypi,,dxz,0.0.6,tar-gz,17,27.04882813,,,benign
invoicespider_0.1.2_tar-gz,pypi,,invoicespider,0.1.2,tar-gz,43,578.0439453,,,benign
ai-services_0.5.5_py3-none-any-whl,pypi,,ai-services,0.5.5,py3-none-any-whl,174,469.8359375,,,benign
eepl-4.5.2,pypi,,eepl,4.5.2,eepl-4.5.2,1,0.002076149,"['setuptools.command.install', 'requests.get', 'requests.get', 'open(', 'write(', 'os.system', 'install.run']",persistence,malicious
pybase62_1.0.0_py3-none-any-whl,pypi,,pybase62,1.0.0,py3-none-any-whl,6,8.591796875,,,benign
docker-pycreds_0.4.0_tar-gz,pypi,,docker-pycreds,0.4.0,tar-gz,23,27.23144531,,,benign
tv02_0.1.1_py3-none-any-whl,pypi,,tv02,0.1.1,py3-none-any-whl,5,16.57519531,,,benign
undetected-playwright-patch_0.0.1_py3-none-win-amd64-whl,pypi,,undetected-playwright-patch,0.0.1,py3-none-win-amd64-whl,361,11806.20508,,,benign
httpxrequesterv2-1.0,pypi,,httpxrequesterv2,1,httpxrequesterv2-1.0,1,0.013875961,"['exec(', 'open(', 'read(', '__import__', 'subprocess.Popen', 'open(', 'requests.post', 'requests.post', 'open(', 'open(', 'open(', 'read(', 'open(', 'read(', 'open(', 'read(', 'open(', 'open(', 'open(', 'write(', 'write(', 'open(', 'open(', 'read(', 'open(', 'read(', 'open(', 'read(', 'open(', 'subprocess.Popen', 'open(', 'open(', 'write(', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'open(', 'requests.post', 'read(', 'threading.Thread', 'exec(', 'open(', 'read(', '__import__', 'subprocess.Popen', 'open(', 'requests.post', 'requests.post', 'open(', 'open(', 'open(', 'read(', 'open(', 'read(', 'open(', 'read(', 'open(', 'open(', 'open(', 'write(', 'write(', 'open(', 'open(', 'read(', 'open(', 'read(', 'open(', 'read(', 'open(', 'subprocess.Popen', 'open(', 'open(', 'write(', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'read(', 'threading.Thread', 'open(', 'requests.post', 'read(', 'threading.Thread']",code_execution,malicious
kfp_2.3.0_tar-gz,pypi,,kfp,2.3.0,tar-gz,224,2041.783203,,,benign
recce_0.1.0.dev1_tar-gz,pypi,,recce,0.1.0.dev1,tar-gz,52,1888.741211,,,benign
selfgamepypost-10.9,pypi,,selfgamepypost,10.9,selfgamepypost-10.9,1,0.00412941,"['subprocess.Popen', 'open(']",command_execution,malicious
py-vmstudy-2.62,pypi,,py-vmstudy,2.62,py-vmstudy-2.62,1,0.00412941,"['subprocess.Popen', 'open(']",command_execution,malicious
django-rest-auth_0.9.5_tar-gz,pypi,,django-rest-auth,0.9.5,tar-gz,74,218.8613281,,,benign
paramiko_2.12.0_tar-gz,pypi,,paramiko,2.12.0,tar-gz,257,5788.12793,,,benign
esqcraftguicc-5.31,pypi,,esqcraftguicc,5.31,esqcraftguicc-5.31,1,0.004179955,"['subprocess.Popen', 'open(']",command_execution,malicious
python-roborock_0.36.0_tar-gz,pypi,,python-roborock,0.36.0,tar-gz,20,163.0839844,,,benign
excel-1drive-nopassword_1.2.4_tar-gz,pypi,,excel-1drive-nopassword,1.2.4,tar-gz,14,49.37597656,,,benign
pymsofa_1.1.1_tar-gz,pypi,,pymsofa,1.1.1,tar-gz,18,2532.804688,,,benign
redlock-py_1.0.8_tar-gz,pypi,,redlock-py,1.0.8,tar-gz,15,22.4921875,,,benign
cos-python-sdk-v5_1.9.26_tar-gz,pypi,,cos-python-sdk-v5,1.9.26,tar-gz,28,640.0898438,,,benign
helascript_0.1_tar-gz,pypi,,helascript,0.1,tar-gz,10,3.326171875,,,benign
spavro_1.1.24_tar-gz,pypi,,spavro,1.1.24,tar-gz,39,1878.771484,,,benign
pylint-beautifulsoup-17.10.12,pypi,,pylint-beautifulsoup,17.10.12,pylint-beautifulsoup-17.10.12,1,0.001671791,"['requests.get', 'write(', 'subprocess.call', 'exec(', 'base64.b64decode']",network_access,malicious
django-spruce_5.3.3_tar-gz,pypi,,django-spruce,5.3.3,tar-gz,2339,40343.30176,,,benign
chellow_1699541219.0.0_tar-gz,pypi,,chellow,1699541219.0.0,tar-gz,451,3038.896484,,,benign
libosintinfo-4.7,pypi,,libosintinfo,4.7,libosintinfo-4.7,1,0.004138947,"['subprocess.Popen', 'open(']",command_execution,malicious
PandasProx_1.0.1_zip,pypi,,PandasProx,1.0.1,zip,9,1.637695313,"['os.getenv', 'sha256.hexdigest', 'os.system']",global,malicious
tppostrandomsplit-4.87,pypi,,tppostrandomsplit,4.87,tppostrandomsplit-4.87,1,0.004210472,"['subprocess.Popen', 'open(']",command_execution,malicious
pyjoul-1.0.0,pypi,,pyjoul,1.0.0,pyjoul-1.0.0,1,0.003847122,"['setuptools.command.install', 'eval(', 'install.run']",persistence,malicious
bsavi_0.3.8a2_py3-none-any-whl,pypi,,bsavi,0.3.8a2,py3-none-any-whl,11,20.27539063,,,benign
test-async-0.0.3,pypi,,test-async,0.0.3,test-async-0.0.3,1,0.001919746,"['requests.get', 'requests.post', 'open(', 'requests.get', 'write(', 'subprocess.Popen', 'open(', 'open(', 'read(']",network_access,malicious
grance_0.1.0_py3-none-any-whl,pypi,,grance,0.1.0,py3-none-any-whl,8,19.84277344,,,benign
types-markupsafe_1.1.10_tar-gz,pypi,,types-markupsafe,1.1.10,tar-gz,15,8.219726563,,,benign
selfsplitrandompyw-10.75,pypi,,selfsplitrandompyw,10.75,selfsplitrandompyw-10.75,1,0.004225731,"['subprocess.Popen', 'open(']",command_execution,malicious
testdufou_3_zip,pypi,,testdufou,3,zip,11,54.9453125,"['getpass.getuser', 'os.getenv', 'os.getenv', 'os.getenv', 'os.path.exists', 'os.path.exists', 'os.path.exists', 'os.path.exists', 'zipfile.ZipFile', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'newzip.write', 'requests.get', 'requests.get', 'open', 'requests.post', 'requests.post', 'open.close', 'os.path.exists', 'os.remove']",initialize,malicious
pyppbox-ultralytics_8.0.222_py3-none-any-whl,pypi,,pyppbox-ultralytics,8.0.222,py3-none-any-whl,170,1566.588867,,,benign
webscoket-client-0.1,pypi,,webscoket-client,0.1,webscoket-client-0.1,1,0.013059616,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
bup-utils-1.0.0,pypi,,bup-utils,1.0.0,bup-utils-1.0.0,1,0.001703262,"['setuptools.command.install', 'exec(', 'install.run']",persistence,malicious
discord-webhhook-0.1,pypi,,discord-webhhook,0.1,discord-webhhook-0.1,1,0.006532669,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
robin-sd-download_0.4.0_tar-gz,pypi,,robin-sd-download,0.4.0,tar-gz,32,62.57617188,,,benign
py-masksuperpyw-8.89,pypi,,py-masksuperpyw,8.89,py-masksuperpyw-8.89,1,0.00420475,"['subprocess.Popen', 'open(']",command_execution,malicious
teklitapp_1.0.0_tar-gz,pypi,,teklitapp,1.0.0,tar-gz,11,36.06054688,,,benign
pydflow_1.8.25_tar-gz,pypi,,pydflow,1.8.25,tar-gz,68,802.8261719,,,benign
ws4py_0.5.1_tar-gz,pypi,,ws4py,0.5.1,tar-gz,40,225.5136719,,,benign
pyytorch-0.1,pypi,,pyytorch,0.1,pyytorch-0.1,1,0.006523132,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
requirements-parser_0.5.0_tar-gz,pypi,,requirements-parser,0.5.0,tar-gz,12,38.72851563,,,benign
libpipcontrolcandy-10.30,pypi,,libpipcontrolcandy,10.3,libpipcontrolcandy-10.30,1,0.00423336,"['subprocess.Popen', 'open(']",command_execution,malicious
flake8-variables-names_0.0.6_tar-gz,pypi,,flake8-variables-names,0.0.6,tar-gz,15,18.67675781,,,benign
bytedtrace-0.1.12,pypi,,bytedtrace,0.1.12,bytedtrace-0.1.12,1,0.009851456,"['requests.post', 'getpass.getuser', 'socket.gethostname']",network_access,malicious
pyhulul-1.0.1,pypi,,pyhulul,1.0.1,pyhulul-1.0.1,1,0.004320145,"['setuptools.command.install', 'eval(', 'install.run']",persistence,malicious
pysftp_0.2.9_tar-gz,pypi,,pysftp,0.2.9,tar-gz,22,97.39453125,,,benign
mineget-3.63,pypi,,mineget,3.63,mineget-3.63,1,0.00411129,"['subprocess.Popen', 'open(']",command_execution,malicious
bittcoinlib-0.1,pypi,,bittcoinlib,0.1,bittcoinlib-0.1,1,0.006520271,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
porgressbar2-0.1,pypi,,porgressbar2,0.1,porgressbar2-0.1,1,0.006526947,"['write(', 'open(', 'open(', 'write(']",file_operations,malicious
WeedyCoder_1.1.0_zip,pypi,,WeedyCoder,1.1.0,zip,9,24.19433594,"['base64.b64decode', 'lzma.decompress', 'compile', 'exec']",global,malicious
domain-admin_1.5.32_tar-gz,pypi,,domain-admin,1.5.32,tar-gz,355,5943.621094,,,benign
linear-tsv_1.1.0_tar-gz,pypi,,linear-tsv,1.1.0,tar-gz,12,25.59375,,,benign
efaar-benchmarking_0.1.0_py2-py3-none-any-whl,pypi,,efaar-benchmarking,0.1.0,py2-py3-none-any-whl,38,21675.86426,,,benign
farfundb_1.1.24_py3-none-any-whl,pypi,,farfundb,1.1.24,py3-none-any-whl,11,16.81835938,,,benign
genesisbot_0.0.1_tar-gz,pypi,,genesisbot,0.0.1,tar-gz,10,3.23046875,"['random.randint', 'asciigen']",encrypt,malicious
eradicate_2.3.0_py3-none-any-whl,pypi,,eradicate,2.3.0,py3-none-any-whl,6,14.56542969,,,benign
tpcved-10.5,pypi,,tpcved,10.5,tpcved-10.5,1,0.004115105,"['subprocess.Popen', 'open(']",command_execution,malicious
yt-concate-alicehhh_0.1.5_tar-gz,pypi,,yt-concate-alicehhh,0.1.5,tar-gz,30,23.83007813,,,benign
backports-functools-lru-cache_1.6.6_tar-gz,pypi,,backports-functools-lru-cache,1.6.6,tar-gz,30,27.19433594,,,benign
servicenow-utils_0.21_tar-gz,pypi,,servicenow-utils,0.21,tar-gz,13,9.311523438,,,benign
astralnitro_1.0_zip,pypi,,astralnitro,1,zip,7,27.26953125,"['threading.Thread', 'threading.Thread.start']",Kiwi,malicious
hdbscan_0.8.33_tar-gz,pypi,,hdbscan,0.8.33,tar-gz,50,7616.388672,,,benign
sommer_0.0.1_py2-py3-none-any-whl,pypi,,sommer,0.0.1,py2-py3-none-any-whl,5,1.490234375,,,benign
cycquery_0.1.0_tar-gz,pypi,,cycquery,0.1.0,tar-gz,24,215.8408203,,,benign
gs-peer-connection_0.0.31.53_tar-gz,pypi,,gs-peer-connection,0.0.31.53,tar-gz,20,97.42773438,,,benign
mcsuper-9.41,pypi,,mcsuper,9.41,mcsuper-9.41,1,0.004101753,"['subprocess.Popen', 'open(']",command_execution,malicious
adurl-8.60,pypi,,adurl,8.6,adurl-8.60,1,0.004091263,"['subprocess.Popen', 'open(']",command_execution,malicious
toolgrand-4.18,pypi,,toolgrand,4.18,toolgrand-4.18,1,0.004119873,"['subprocess.Popen', 'open(']",command_execution,malicious
compaipair_0.4.1_py3-none-any-whl,pypi,,compaipair,0.4.1,py3-none-any-whl,23,21.01855469,,,benign
